LANGUAGECODE|RULENUMBER|CODE|FIELDNAME|DESCRIPTION
TR|973|field.notfound|contactID|Girmiş olduğunuz kontak kimliği geçersiz. Bu kimlik ya yanlış, ya da aktif durumda değil.
TR|972|field.notauthorized|contactID|Girmiş olduğunuz kontak kimliği başka bir kullanıcıya verilmiş bulunuyor.
TR|971|field.empty|seniority|Kıdem seçilmedi.
TR|970|field.empty|department|Bölüm seçilmedi.
EN|973|field.notfound|contactID|The Contact Id that you have entered is invalid, either this Id does not exist or it is for an inactive contact.
EN|972|field.notauthorized|contactID|The Contact Id that you have entered is already assigned to another portal user.
EN|971|field.empty|seniority|Seniority not selected.
IX|968|field.empty|alert|Alert not selected.
FR|972|field.notauthorized|contactID|Le Contact ID que vous avez saisi est déjà assigné à un autre utilisateur du site.
FR|971|field.empty|seniority|Aucun rôle n'est sélectionné.
FR|970|field.empty|department|Aucun département n'est sélectionné.
DE|973|field.notfound|contactID|Die von Ihnen eingegeben Contact-ID ist ungültig. Diese Id existiert nicht oder gehört zu einem inaktiven Kontakt.
DE|972|field.notauthorized|contactID|Die  von Ihnen eingegebene Contact-ID ist bereits an einen anderen Benutzer des Portals vergeben
DE|971|field.empty|seniority|Hierachie
DE|970|field.empty|department|Abteilung nicht ausgewählt
EL|973|field.notfound|contactID|Το Contact ID δεν είναι έγκυρο, ή δεν υπάρχει ή είναι ανενεργό.
EN|969|field.empty|newsletter|Newsletter not selected.
EN|968|field.empty|alert|Alert not selected.
EL|972|field.notauthorized|contactID|Το Contact ID που επιλέξατε χρησιμοποείται ήδη από κάποιο, άλλο χρήστη.
EL|971|field.empty|seniority|Δεν επιλέξατε "Θέση στην εταιρεία"
EL|970|field.empty|department|Δεν επιλέξατε "Τμήμα".
HU|973|field.notfound|contactID|A megadott Contact ID nem érvényes: nem létezik, vagy inaktív felhasználóhoz tartozik.
IX|969|field.empty|newsletter|Newsletter not selected.
IX|968|field.empty|alert|Alert not selected.
IX|979|field.notfound|partnerProId|Partner ID not found.
IX|978|field.toomany|partnerProId|Too many Partner ID was returned.
IX|977|field.notactive|partnerProId|Partner is not active.
IX|976|field.notauthorized|partnerProId|Partner is not authorized.
IX|421|field.empty|currentPassword|Current password not entered.
IX|975|field.empty|role|Role not selected
IX|974|field.empty|status|Status not selected
IX|967|field.format|dob|Date format is invalid.
IX|998|field.empty|workPhone|Work phone not entered
IX|997|field.empty|mobilePhone|Mobile phone not entered
IX|999|field.empty|jobFunction|Job function not selected
IX|996|field.empty|faxNumber|Fax not entered
IX|995|field.empty|contactPrefEmail|E-Mail privacy not selected
IX|994|field.empty|contactPrefTelephone|Phone privacy not selected
IX|993|field.empty|contactPrefPost|Postal mail privacy not selected
IX|992|field.empty|fax|Fax privacy not selected
IX|984|field.empty|title|Title not Selected
IX|263|field.empty|firstName|First Name not entered
IX|258|field.empty|lastName|Last Name not entered
IX|467|field.empty|securityAnswer|Challenge answer not entered
IX|476|field.empty|securityQuestion|Challenge question not selected
IX|266|field.empty|email|E-Mail not entered
IX|252|field.empty|password|Password not entered.
IX|231|field.empty|userId|User ID not entered.
IX|982|field.empty|emailMessage|Email message is empty
IX|983|field.empty|topic|Topic not Selected
IX|985|field.empty|posteCode|Post code not entered
IX|980|field.format|email|E-mail address format is invalid
IX|981|field.empty|email|E-mail type not set
IX|284|field.empty|contactPrefEmail|E-Mail privacy not selected
IX|279|field.empty|residentCountryCode|Country of Business not selected
IX|277|field.empty|langCode|Preferred Language not entered
IX|991|field.empty|sms|SMS privacy not selected
IX|990|field.empty|company|Partner name not entered
IX|989|field.empty|companyNumber|Company number not entered
IX|988|field.empty|workAddress|Work address not entered
IX|987|field.empty|city|City not entered
HU|972|field.notauthorized|contactID|A megadott Contact ID-t a rendszer már egy másik felhasználóhoz rendelte.
HU|971|field.empty|seniority|Pozíció nincs kiválasztva
HU|970|field.empty|department|Terület nincs kiválasztva
IT|973|field.notfound|contactID|Il Contact ID inserito non è valido, non esiste o è inattivo.
EN|969|field.empty|newsletter|Newsletter not selected.
EN|968|field.empty|alert|Alert not selected.
IX|973|field.notfound|contactID|The Contact Id that you have entered is invalid, either this Id does not exist or it is for an inactive contact.
IX|972|field.notauthorized|contactID|The Contact Id that you have entered is already assigned to another portal user.
IX|971|field.empty|seniority|Seniority not selected.
IX|970|field.empty|department|Department not selected.
BG|973|field.notfound|contactID|Контактното ID, което въвеждате е невалидно: или не съществува или принадлежи на неактивен контакт.
BG|972|field.notauthorized|contactID|Контактното ID, което въвеждате, вече се изпозва от друг потребител на портала.
BG|971|field.empty|seniority|Не е избрано старшинство
BG|970|field.empty|department|Не е избран отдел
HR|973|field.notfound|contactID|Kontakt ID koji ste unjeli je pogresan, nevazeci ili je neaktivan.
HR|972|field.notauthorized|contactID|Kontakt ID koji ste unjeli je vec upotrebljen.
HR|971|field.empty|seniority|Funkcija nije odabrana
HR|970|field.empty|department|Odjel nije odabran
CS|973|field.notfound|contactID|Kontakt ID, které jste vložili, je neplatné, neexistuje nebo patří neaktivnímu uživateli. 
CS|972|field.notauthorized|contactID|Kontakt ID, které jste vložili, je již přiřazeno jinému uživateli.
CS|971|field.empty|seniority|Zvolte hodnostní zařazení
CS|970|field.empty|department|Zvolte oddělení
DA|973|field.notfound|contactID|Det kontakt ID du har søgt på er enten ugyldigt, eksisterer ikke eller det er kan være for en inaktiv kontakt.
DA|972|field.notauthorized|contactID|Det kontakt ID du har søgt på er allerede tildelt en anden bruger på portalen.
DA|971|field.empty|seniority|Anciennitet ikke valgt.
DA|970|field.empty|department|Afdeling ikke valgt.
NL|973|field.notfound|contactID|Het contact ID dat u heeft ingevoerd is ongeldig. Deze ID bestaat niet of is van een inactief contactpersoon.
NL|972|field.notauthorized|contactID|Het contact ID dat u heeft ingevoerd is al toegekend aan een andere gebruiker.
NL|971|field.empty|seniority|Senioriteit is niet geselecteerd.
NL|970|field.empty|department|Afdeling is niet geselecteerd.
FI|973|field.notfound|contactID|Syöttämäsi Contact Id on virheellinen. Id ei ole käytössä tai se on passiivisella käyttäjällä.
FI|972|field.notauthorized|contactID|Syöttämäsi Contact Id on jo käytössä.
IX|986|field.empty|country|Country not selected
IX|969|field.empty|newsletter|Newsletter not selected.
FI|971|field.empty|seniority|Virkaa ei ole valittu.
FI|970|field.empty|department|Osastoa ei ole valittu.
FR|973|field.notfound|contactID|Le Contact ID que vous avez saisi est incorrect, soit il n'existe pas soit le contact est inactif.
NO|980|field.format|email|Epost-formatet er ugyldig
NO|981|field.empty|email|Epost-type mangler
NO|284|field.empty|contactPrefEmail|Epost-preferanse er ikke oppgitt
NO|279|field.empty|residentCountryCode|Land/bostedsområde er ikke oppgitt
NO|277|field.empty|langCode|Foretrukket språk er ikke oppgitt
NO|991|field.empty|sms|SMS-preferanse er ikke oppgitt
NO|990|field.empty|company|Firma er ikke oppgitt
NO|989|field.empty|companyNumber|Firma-identifikasjon er ikke oppgitt
NO|988|field.empty|workAddress|Kontoradresse er ikke oppgitt
NO|987|field.empty|city|Poststed er ikke oppgitt
NO|986|field.empty|country|Land er ikke oppgitt
PL|998|field.empty|workPhone|Brak telefony służbowego
PL|997|field.empty|mobilePhone|Brak telefonu komórkowego
PL|999|field.empty|jobFunction|Stanowisko nie zostało wybrane
PL|996|field.empty|faxNumber|Brak faxu
PL|995|field.empty|contactPrefEmail|E-Mail privacy not selected
PL|994|field.empty|contactPrefTelephone|Phone privacy not selected
PL|993|field.empty|contactPrefPost|Postal mail privacy not selected
PL|992|field.empty|fax|Fax privacy not selected
PL|984|field.empty|title|Brak tytułu
PL|263|field.empty|firstName|Brak imienia
PL|258|field.empty|lastName|Brak nazwiska
PL|467|field.empty|securityAnswer|Brak odpowiedzi sprawdzającej
PL|476|field.empty|securityQuestion|Brak pytania sprawdzającego
PL|266|field.empty|email|brak adresu E-Mail
PL|252|field.empty|password|Brak hasła.
PL|231|field.empty|userId|Brak id użytkownika.
PL|982|field.empty|emailMessage|Email Pusta wiadomość
PL|983|field.empty|topic|Temat nie został wybrany
PL|985|field.empty|posteCode|Brak kodu pocztowego
PL|980|field.format|email|format adresu E-mail nieprawidłowy
PL|981|field.empty|email|Nie wybrano rodzaju E-mail
PL|284|field.empty|contactPrefEmail|E-Mail privacy not selected
PL|279|field.empty|residentCountryCode|Kraj/Region nie został wybrany
PL|277|field.empty|langCode|Brak preferowanego języka
PL|991|field.empty|sms|SMS privacy not selected
PL|990|field.empty|company|Brak firmy
PL|989|field.empty|companyNumber|Brak numery firmy
PL|988|field.empty|workAddress|Brak adresu służbowego
PL|987|field.empty|city|Brak miasta
PL|986|field.empty|country|Brak kraju
PT|998|field.empty|workPhone|Número de telefone do trabalho não foi colocado
PT|997|field.empty|mobilePhone|Número do telemóvel não foi colocado
PT|999|field.empty|jobFunction|Função no trabalho não foi seleccionada
PT|996|field.empty|faxNumber|Fax não foi colocado
PT|995|field.empty|contactPrefEmail|E-Mail privado não foi seleccionada
PT|994|field.empty|contactPrefTelephone|Telefone privado não foi seleccionada
PT|993|field.empty|contactPrefPost|Mail postal privado não foi seleccionada
PT|992|field.empty|fax|Fax privado não foi seleccionada
PT|984|field.empty|title|Titulo não foi seleccionada
PT|263|field.empty|firstName|Primeiro Nome não foi colocado
PT|258|field.empty|lastName|Último Nome não foi colocado
PT|467|field.empty|securityAnswer|Resposta de segurança não foi colocada
PT|476|field.empty|securityQuestion|Pergunta de segurança não foi seleccionada
PT|266|field.empty|email|E-Mail não foi colocado
PT|252|field.empty|password|Password não foi colocada.
PT|231|field.empty|userId|User ID não foi colocado.
PT|982|field.empty|emailMessage|A caixa de mensagens do email está vazia
PT|983|field.empty|topic|Tópico não seleccionado
PT|985|field.empty|posteCode|Código postal não foi colocado
PT|980|field.format|email|O formato de endereço do E-mail é inválido
EN|979|field.notfound|partnerProId|Partner ID not found.
EN|978|field.toomany|partnerProId|Too many Partner ID was returned.
EN|977|field.notactive|partnerProId|Partner is not active.
EN|976|field.notauthorized|partnerProId|Partner is not authorized.
EN|421|field.empty|currentPassword|Current password not entered.
EN|975|field.empty|role|Role not selected
EN|974|field.empty|status|Status not selected
PT|974|field.empty|status|Status não foi seleccionado
PT|975|field.empty|role|A função não foi seleccionado
SV|974|field.empty|status|Status ej vald
SV|975|field.empty|role|Roll ej vald
PL|974|field.empty|status|Status nie został wybrany
PL|975|field.empty|role|Rola nie została wybrana
IT|974|field.empty|status|Stato non selezionato
IT|975|field.empty|role|Ruolo non selezionato
NO|974|field.empty|status|Status er ikke valgt
NO|975|field.empty|role|Brukerrolle er ikke valgt
DE|974|field.empty|status|Status wurde nicht ausgewählt
DE|975|field.empty|role|Rolle wurde nicht ausgewählt
HR|974|field.empty|status|Status nije odabran
HR|975|field.empty|role|Funkcija nije odabrana
BG|974|field.empty|status|Състоянието не е избрано
BG|975|field.empty|role|Функцията не е избрана
SL|974|field.empty|status|Manjka status
SL|975|field.empty|role|Manjka vloga
FR|974|field.empty|status|Statut non sélectionné
FR|975|field.empty|role|Rôle non sélectionné
NL|974|field.empty|status|Status niet geselecteerd
NL|975|field.empty|role|Rol niet geselecteerd
SK|974|field.empty|status|Stav nevybratý
SK|975|field.empty|role|Pozícia nevybratá
DA|974|field.empty|status|Status ikke valgt
DA|975|field.empty|role|Rolle ikke valgt
CS|974|field.empty|status|Stav nebyl vybrán
CS|975|field.empty|role|Role nebyla vybrána
RU|974|field.empty|status|Статус не указан
RU|975|field.empty|role|Роль не указана
EL|974|field.empty|status|Δεν έχετε επιλέξει κατάσταση
EL|975|field.empty|role|Δεν έχετε επιλέξει ρόλο
FI|974|field.empty|status|Tilaa ei ole valittu
NO|982|field.empty|emailMessage|Epost-melding mangler innhold
NO|983|field.empty|topic|Emne er ikke oppgitt
NO|985|field.empty|posteCode|Postnummer er ikke oppgitt
FI|975|field.empty|role|Roolia ei ole valittu
ES|974|field.empty|status|Estado no seleccionado
ES|975|field.empty|role|Perfil no seleccionado
TR|974|field.empty|status|Statu secilmedi
TR|975|field.empty|role|Rol secilmedi
HU|974|field.empty|status|Státusz nincs kiválasztva
HU|975|field.empty|role|Szerep nincs kiválasztva
RO|974|field.empty|status|Nu a fost selectat statutul.
RO|975|field.empty|role|Nu a fost selectat rolul.
EN|967|field.format|dob|Date format is invalid.
EL|995|field.empty|contactPrefEmail|Δεν έχετε επιλέξει εάν επιθυμείτε να λαμβάνετε ηλεκτρονικά γράμματα
EL|467|field.empty|securityAnswer|Η απάντηση στην ερώτηση επιβεβαίωσης δεν έχει συμπληρωθεί
EL|284|field.empty|contactPrefEmail|Δεν έχετε επιλέξει εάν επιθυμείτε να δέχεστε ηλεκτρονικά γράμματα
TR|252|field.empty|password|Sifre yazilmadi.
SV|263|field.empty|firstName|Förnamn ej angivet
SV|258|field.empty|lastName|Efternamn ej angivet
SV|467|field.empty|securityAnswer|Säkerhetssvar ej valt
SV|476|field.empty|securityQuestion|Säkerhetsfråga ej vald
SV|266|field.empty|email|E-postadress aj angivet
SV|252|field.empty|password|Lösenord ej angivet.
SV|231|field.empty|userId|Användar-ID ej agivet.
SV|982|field.empty|emailMessage|E-postmeddelandet är tomt
SV|983|field.empty|topic|Ämne ej angivet
SV|985|field.empty|posteCode|Postnumemr ej angivet
SV|980|field.format|email|e-postadressformat ogiltigt
SV|981|field.empty|email|E-posttyp ej angivet
SV|284|field.empty|contactPrefEmail|E-postsekretess ej angivet
SV|279|field.empty|residentCountryCode|Land ej valt
SV|277|field.empty|langCode|Önskat språk ej angivet
SV|991|field.empty|sms|SMS-sekretess ej angivet
SV|990|field.empty|company|Företag ej angivet
SV|989|field.empty|companyNumber|Företagsnummer ej angivet
SV|988|field.empty|workAddress|Företagsadress ej angivet
SV|987|field.empty|city|Stad ej angivet
SV|986|field.empty|country|Land ej angivet
TR|998|field.empty|workPhone|Is telefonu yazilmadi
TR|997|field.empty|mobilePhone|Cep telefonu yazilmadi
TR|999|field.empty|jobFunction|Gorev secilmedi
IT|284|field.empty|contactPrefEmail|Consenso alla ricezione di E-Mail non selezionato
IT|279|field.empty|residentCountryCode|Nazione di residenza non selezionata
IT|277|field.empty|langCode|Lingua principale non inserita
IT|991|field.empty|sms|Consenso alla ricezione di SMS non selezionato
IT|990|field.empty|company|Azienda non inserita
IT|989|field.empty|companyNumber|Numero dell'azienda non inserito
IT|988|field.empty|workAddress|Indirizzo aziendale non inserito
IT|987|field.empty|city|Citta' non inserita
IT|986|field.empty|country|Nazione non selezionata
NL|998|field.empty|workPhone|Telefoonnummer niet ingegeven
NL|997|field.empty|mobilePhone|GSM-nummer niet ingegeven
NL|999|field.empty|jobFunction|Job functie niet geselecteerd
NL|996|field.empty|faxNumber|Faxnummer niet ingegeven
NL|995|field.empty|contactPrefEmail|E-mail privacy niet geselecteerd
NL|994|field.empty|contactPrefTelephone|Telefoon privacy niet geselecteerd
NL|993|field.empty|contactPrefPost|Adres privacy niet geselecteerd
NL|992|field.empty|fax|Fax privacy niet geselecteerd
NL|984|field.empty|title|Titel niet geselecteerd
NL|263|field.empty|firstName|Voornaam niet ingegeven
NL|258|field.empty|lastName|Naam niet ingegeven
NL|467|field.empty|securityAnswer|Antwoord op beveiligingsvraag niet ingegeven
NL|476|field.empty|securityQuestion|Beveiligingsvraag niet geselecteerd
NL|266|field.empty|email|E-mail niet ingegeven
NL|252|field.empty|password|Wachtwoord niet ingegeven
NL|231|field.empty|userId|Inlognaam niet ingegeven
NL|982|field.empty|emailMessage|E-mail bericht is leeg
NL|983|field.empty|topic|Onderwerp niet geselecteerd
NL|985|field.empty|posteCode|Postcode niet ingegeven
NL|980|field.format|email|Formaat van e-mail adres is niet geldig
NL|981|field.empty|email|E-mail type niet ingesteld
NL|284|field.empty|contactPrefEmail|E-mail privacy niet geselecteerd
NL|279|field.empty|residentCountryCode|Land/Regio van verblijf niet geselecteerd
NL|277|field.empty|langCode|Voorkeurtaal niet ingegeven
NL|991|field.empty|sms|SMS privacy niet geselecteerd
NL|990|field.empty|company|Bedrijf niet ingegeven
NL|989|field.empty|companyNumber|Bedrijfnummer niet ingegeven
NL|988|field.empty|workAddress|Bedrijfsadres niet ingegeven
NL|987|field.empty|city|Stad niet ingegeven
NL|986|field.empty|country|Land niet geselecteerd
NO|998|field.empty|workPhone|Kontortelefon er ikke oppgitt
NO|997|field.empty|mobilePhone|Mobiltelefon er ikke oppgitt
NO|999|field.empty|jobFunction|Stilling/funksjon er ikke oppgitt
NO|996|field.empty|faxNumber|Faks er ikke oppgitt
NO|995|field.empty|contactPrefEmail|Epost-preferanse er ikke oppgitt
NO|994|field.empty|contactPrefTelephone|Telefon-preferanse er ikke oppgitt
NO|993|field.empty|contactPrefPost|Brev-preferanse er ikke oppgitt
NO|992|field.empty|fax|Faks-preferanse er ikke oppgitt
NO|984|field.empty|title|Tittel er ikke oppgitt
NO|263|field.empty|firstName|Fornavn er ikke oppgitt
NO|258|field.empty|lastName|Etternavn er ikke oppgitt
NO|467|field.empty|securityAnswer|Hemmelig sikkerhetsspørsmål er ikke besvart
NO|476|field.empty|securityQuestion|Hemmelig sikkerhetsspørsmål er ikke oppgitt
NO|266|field.empty|email|Epost-adresse er ikke oppgitt
NO|252|field.empty|password|Passord er ikke oppgitt
NO|231|field.empty|userId|Brukernavn er ikke oppgitt
HR|983|field.empty|topic|Tema nije navedena.
HR|985|field.empty|posteCode|Postanski broj nije unesen.
HR|980|field.format|email|Forma e-mail adrese nije ispravan
HR|981|field.empty|email|Vrsta E-maila nije odabrana
HR|284|field.empty|contactPrefEmail|E-Mail privatnost nije odabrana
HR|279|field.empty|residentCountryCode|Zemlja/Regija stanovanja nije odabrana
HR|277|field.empty|langCode|Preferiran jezink nije odabran
HR|991|field.empty|sms|SMS privatnost nije naznacena
HR|990|field.empty|company|Tvrtna nije unesena
HR|989|field.empty|companyNumber|Broj tvrtke nije unesen
HR|988|field.empty|workAddress|Adresa na poslu nije unesena
HR|987|field.empty|city|Grad nije unesen
HR|986|field.empty|country|Drzava nije odabrana
HU|998|field.empty|workPhone|Munkahelyi telefonszám hiányzik
HU|997|field.empty|mobilePhone|Mobilszám hiányzik
HU|999|field.empty|jobFunction|Betöltött funkció nincs kiválasztva
HU|996|field.empty|faxNumber|Faxszám hiányzik
HU|995|field.empty|contactPrefEmail|Privát e-mail cím nincs kiválasztva
HU|994|field.empty|contactPrefTelephone|Privát telefonszám nincs kiválasztva
HU|993|field.empty|contactPrefPost|Privát postacím nincs kiválasztva
HU|992|field.empty|fax|Privát faxszám nincs kiválasztva
HU|984|field.empty|title|Megszólítás nincs kiválasztva
HU|263|field.empty|firstName|Keresztnév hiányzik
HU|258|field.empty|lastName|Vezetéknév hiányzik
HU|467|field.empty|securityAnswer|Jelszó-emlékeztető hiányzik
HU|476|field.empty|securityQuestion|Jelszó-emlékeztető nincs kiválasztva
HU|266|field.empty|email|E-mail hiányzik
HU|252|field.empty|password|Jelszó hiányzik
HU|231|field.empty|userId|Felhasználói azonosító hiányzik
HU|982|field.empty|emailMessage|E-mail üzenet üres
HU|983|field.empty|topic|Téma nincs kiválasztva
HU|985|field.empty|posteCode|Irányítószám hiányzik
HU|980|field.format|email|E-mail cím formátum nem megfelelő
HU|981|field.empty|email|E-mail típus nincs beállítva
HU|284|field.empty|contactPrefEmail|Privát e-mail cím nincs kiválasztva
HU|279|field.empty|residentCountryCode|Ország/régió nincs kiválasztva
HU|277|field.empty|langCode|Preferált nyelv hiányzik
HU|991|field.empty|sms|Privát SMS hiányzik
HU|990|field.empty|company|Vállalat hiányzik
HU|989|field.empty|companyNumber|Vállalat száma hiányzik
HU|988|field.empty|workAddress|Munkahelyi cím hiányzik
HU|987|field.empty|city|Település hiányzik
HU|986|field.empty|country|Ország nincs kiválasztva
IT|998|field.empty|workPhone|Numero di telefono non inserito
IT|997|field.empty|mobilePhone|Numero di cellulare non inserito
IT|999|field.empty|jobFunction|Ruovo aziendale non inserito
IT|996|field.empty|faxNumber|Fax non inserito
IT|995|field.empty|contactPrefEmail|Consenso alla ricezione di E-Mail non selezionato
IT|994|field.empty|contactPrefTelephone|Consenso alla ricezione di telefonate non selezionato
IT|993|field.empty|contactPrefPost|Consenso alla ricezione di informazioni via posta non selezionato
IT|992|field.empty|fax|Consenso alla ricezione di fax non selezionato
IT|984|field.empty|title|Titolo non selezionato
IT|263|field.empty|firstName|Nome non inserito
IT|258|field.empty|lastName|Cognome non inserito
IT|467|field.empty|securityAnswer|Risposta di sicurezza non inserita
IT|476|field.empty|securityQuestion|Domanda di sicurezza non selezionata
IT|266|field.empty|email|E-Mail non inserita
IT|252|field.empty|password|Password non inserita
IT|231|field.empty|userId|User ID non inserito
IT|982|field.empty|emailMessage|Il messaggio Email e' vuoto
IT|983|field.empty|topic|Argomento non selezionato
IT|985|field.empty|posteCode|CAP non inserito
IT|980|field.format|email|Il formato dell'indirizzo E-mail non e' valido
IT|981|field.empty|email|Tipo di E-mail non impostato
EL|981|field.empty|email|Ο τύπος της ηλεκτρονικής διεύθυνσης δεν έχει ορισθεί
EL|279|field.empty|residentCountryCode|Η χώρα/ περιοχή κατοικίας δεν έχει επιλεγεί
EL|277|field.empty|langCode|Η προτιμώμενη γλώσσα δεν έχει συμπληρωθεί
EL|991|field.empty|sms|Δεν έχετε επιλέξει εάν επιθυμείτε να δέχεστε SMS
EL|990|field.empty|company|Η εταιρία δεν έχει συμπληρωθεί
EL|989|field.empty|companyNumber|Το τηλέφωνο της εταιρίας δεν έχει συμπληρωθεί
FR|258|field.empty|lastName|Votre nom n'est pas saisi.
FR|467|field.empty|securityAnswer|Votre question secrète n'est pas saisie.
FR|476|field.empty|securityQuestion|Votre question secrète n'est pas sélectionnée.
FR|266|field.empty|email|Votre adresse Email n'est pas saisie.
FR|252|field.empty|password|Votre mot de passe n'est pas saisi.
FR|231|field.empty|userId|Votre login n'est pas saisi.
FR|982|field.empty|emailMessage|Votre message d'Email est vide.
FR|983|field.empty|topic|Le sujet n'est pas sélectionné.
FR|985|field.empty|posteCode|Votre code postal n'est pas saisi.
FR|980|field.format|email|Le format de votre adresse Email est invalide
FR|981|field.empty|email|E-mail type not set
FR|284|field.empty|contactPrefEmail|E-Mail privacy not selected
FR|279|field.empty|residentCountryCode|Votre pays de résidence n'est pas sélectionné.
FR|277|field.empty|langCode|Votre langage préféré n'est pas saisi.
FR|991|field.empty|sms|SMS privacy not selected
FR|990|field.empty|company|Le nom de votre société n'est pas saisi.
FR|989|field.empty|companyNumber|Votre numéro de société n'est pas saisi.
FR|988|field.empty|workAddress|Votre adresse de bureau n'est pas saisie.
FR|987|field.empty|city|Votre ville n'est pas saisie.
FR|986|field.empty|country|Votre pays n'est pas sélectionné.
HR|998|field.empty|workPhone|Telefon na poslu nije unesen
HR|997|field.empty|mobilePhone|Mobilni telefon nije unesen
HR|999|field.empty|jobFunction|Radna pozicije nije unesena
HR|996|field.empty|faxNumber|Broj fax-a nije unesen
HR|995|field.empty|contactPrefEmail|E-Mail nije odabrana
HR|994|field.empty|contactPrefTelephone|Telefonska privatnost nije odabrana
HR|993|field.empty|contactPrefPost|Privanost zaprimanja poste nije odabrana
HR|992|field.empty|fax|Privatnos fax-a nije odabrana
HR|984|field.empty|title|Naslov nije odabran
HR|263|field.empty|firstName|Ime nije uneseno
HR|258|field.empty|lastName|Prezime nije uneseno
HR|467|field.empty|securityAnswer|Tajni odgovor nije unesen
HR|476|field.empty|securityQuestion|Tajno pitanje nije uneseno
HR|266|field.empty|email|E-Mail nije unesen
HR|252|field.empty|password|Zaporka nije unesena.
HR|231|field.empty|userId|Korisnicko ime nije unseno.
HR|982|field.empty|emailMessage|Email poruka je prazna.
EL|988|field.empty|workAddress|Η διεύθυνση εργασίας δεν έχει συμπληρωθεί
EL|987|field.empty|city|Η πόλη δεν έχει συμπληρωθεί
EL|986|field.empty|country|Η χώρα δεν έχει επιλεγεί
ES|998|field.empty|workPhone|No se ha introducido el teléfono del trabajo
ES|997|field.empty|mobilePhone|No se ha introducido el teléfono móvil
ES|999|field.empty|jobFunction|No se ha introducido el cargo
ES|996|field.empty|faxNumber|No se ha introducido el fax
ES|995|field.empty|contactPrefEmail|No se ha seleccionado la privacidad del Email
ES|994|field.empty|contactPrefTelephone|No se ha seleccionado la privacidad del teléfono
ES|993|field.empty|contactPrefPost|No se ha seleccionado la privacidad del correo
ES|992|field.empty|fax|No se ha seleccionado la privacidad del fax
ES|984|field.empty|title|No se ha seleccionado el tatamiento
ES|263|field.empty|firstName|No se ha introducido el nombre de pila
ES|258|field.empty|lastName|No se ha introducido el apellido
